No.,Time,Source,Destination,Protocol,Length,Info,label
258,22.855864,22.224.186.35.bc.googleusercontent.com,FioImma.local,TCP,66,443  >  54599 [ACK] Seq=1 Ack=2 Win=489 Len=0 SLE=1 SRE=2,TCP Traffic
259,23.77471,FioImma.local,mars.octa.edu,DNS,97,Standard query 0x12bd PTR 22.224.186.35.in-addr.arpa OPT,Other
260,23.7897,mars.octa.edu,FioImma.local,DNS,149,Standard query response 0x12bd PTR 22.224.186.35.in-addr.arpa PTR 22.224.186.35.bc.googleusercontent.com OPT,Other
261,23.920677,FioImma.local,40.224.186.35.bc.googleusercontent.com,TLSv1.2,97,Application Data,Other
262,23.932166,40.224.186.35.bc.googleusercontent.com,FioImma.local,TCP,60,443  >  54517 [ACK] Seq=1 Ack=44 Win=290 Len=0,TCP Traffic
263,24.013995,40.224.186.35.bc.googleusercontent.com,FioImma.local,TLSv1.2,94,Application Data,Other
264,24.064,FioImma.local,40.224.186.35.bc.googleusercontent.com,TCP,54,54517  >  443 [ACK] Seq=44 Ack=41 Win=509 Len=0,TCP Traffic
265,24.372305,FioImma.local,20.42.72.131,TCP,55,54745  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1,TCP Traffic
266,24.589553,20.42.72.131,FioImma.local,TCP,66,443  >  54745 [ACK] Seq=1 Ack=2 Win=2048 Len=0 SLE=1 SRE=2,TCP Traffic
267,24.76981,FioImma.local,mars.octa.edu,DNS,97,Standard query 0xf8ce PTR 40.224.186.35.in-addr.arpa OPT,Other
268,24.770373,FioImma.local,mars.octa.edu,DNS,96,Standard query 0xfa5a PTR 131.72.42.20.in-addr.arpa OPT,Other
269,24.784107,mars.octa.edu,FioImma.local,DNS,182,Standard query response 0xfa5a No such name PTR 131.72.42.20.in-addr.arpa SOA ns1-08.azure-dns.com OPT,Other
270,24.807413,mars.octa.edu,FioImma.local,DNS,149,Standard query response 0xf8ce PTR 40.224.186.35.in-addr.arpa PTR 40.224.186.35.bc.googleusercontent.com OPT,Other
271,25.015967,browser-intake-datadoghq.com,FioImma.local,TLSv1.2,93,Application Data,Other
272,25.016323,FioImma.local,browser-intake-datadoghq.com,TCP,54,"54759  >  443 [FIN, ACK] Seq=2 Ack=40 Win=513 Len=0",TCP Traffic
273,25.181568,FioImma.local,52.123.173.4,TLSv1.2,104,Application Data,Other
274,25.24273,browser-intake-datadoghq.com,FioImma.local,TLSv1.2,78,Application Data,Other
275,25.24273,browser-intake-datadoghq.com,FioImma.local,TCP,54,"443  >  54759 [FIN, ACK] Seq=64 Ack=3 Win=62 Len=0",TCP Traffic
276,25.242798,FioImma.local,browser-intake-datadoghq.com,TCP,54,"54759  >  443 [RST, ACK] Seq=3 Ack=64 Win=0 Len=0",TCP Traffic
277,25.37254,52.123.173.4,FioImma.local,TLSv1.2,93,Application Data,Other
278,25.421004,FioImma.local,52.123.173.4,TCP,54,54673  >  443 [ACK] Seq=51 Ack=40 Win=512 Len=0,TCP Traffic
279,25.772714,FioImma.local,igmp.mcast.net,IGMPv3,54,Membership Report / Join group 224.0.0.251 for any sources,Other
280,25.78438,FioImma.local,mars.octa.edu,DNS,96,Standard query 0x979c PTR 4.173.123.52.in-addr.arpa OPT,Other
281,25.822217,mars.octa.edu,FioImma.local,DNS,182,Standard query response 0x979c No such name PTR 4.173.123.52.in-addr.arpa SOA ns1-06.azure-dns.com OPT,Other
282,28.420675,FioImma.local,maa03s42-in-f22.1e100.net,TLSv1.2,219,Ignored Unknown Record,Other
283,28.42076,FioImma.local,maa03s42-in-f22.1e100.net,TLSv1.2,93,Application Data,Other
284,28.433291,maa03s42-in-f22.1e100.net,FioImma.local,TCP,60,443  >  54649 [ACK] Seq=1 Ack=167 Win=489 Len=0,TCP Traffic
285,28.433291,maa03s42-in-f22.1e100.net,FioImma.local,TCP,60,443  >  54649 [ACK] Seq=1 Ack=206 Win=489 Len=0,TCP Traffic
286,28.433291,maa03s42-in-f22.1e100.net,FioImma.local,TLSv1.2,93,Application Data,Other
287,28.433291,maa03s42-in-f22.1e100.net,FioImma.local,TLSv1.2,171,Application Data,Other
288,28.433291,maa03s42-in-f22.1e100.net,FioImma.local,TLSv1.2,1466,Application Data,Other
289,28.433291,maa03s42-in-f22.1e100.net,FioImma.local,TLSv1.2,1466,Application Data,Other
290,28.433291,maa03s42-in-f22.1e100.net,FioImma.local,TLSv1.2,1466,Application Data,Other
291,28.433409,FioImma.local,maa03s42-in-f22.1e100.net,TCP,54,54649  >  443 [ACK] Seq=206 Ack=4393 Win=2051 Len=0,TCP Traffic
292,28.434247,maa03s42-in-f22.1e100.net,FioImma.local,TLSv1.2,4290,"Application Data, Application Data, Application Data",Other
293,28.434286,FioImma.local,maa03s42-in-f22.1e100.net,TCP,54,54649  >  443 [ACK] Seq=206 Ack=8629 Win=2051 Len=0,TCP Traffic
