Round,FedAvg Accuracy,FedProx Accuracy
1,92.61083743842364,92.61083743842364
2,92.61083743842364,92.61083743842364
3,92.61083743842364,92.61083743842364
4,92.61083743842364,92.61083743842364
5,92.61083743842364,92.61083743842364
