Round,Accuracy
1,0.7241379310344828
2,0.2413793103448276
3,0.729064039408867
4,0.729064039408867
5,0.7142857142857143
6,0.27586206896551724
7,0.729064039408867
8,0.729064039408867
9,0.7241379310344828
10,0.23645320197044334
