"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","204.79.197.222","FioImma.local","TCP","60","443  >  54796 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"2","0.001887","204.79.197.222","FioImma.local","TLSv1.2","513","Application Data"
"3","0.001887","204.79.197.222","FioImma.local","TLSv1.2","116","Application Data"
"4","0.001887","204.79.197.222","FioImma.local","TCP","60","443  >  54796 [ACK] Seq=522 Ack=81 Win=2048 Len=0"
"5","0.001887","204.79.197.222","FioImma.local","TLSv1.2","85","Application Data"
"6","0.001993","FioImma.local","204.79.197.222","TCP","54","54796  >  443 [ACK] Seq=936 Ack=553 Win=1021 Len=0"
"7","0.003792","FioImma.local","204.79.197.222","TLSv1.2","85","Application Data"
"8","0.042680","204.79.197.222","FioImma.local","TCP","60","443  >  54796 [ACK] Seq=553 Ack=967 Win=2048 Len=0"
"9","0.140630","204.79.197.222","FioImma.local","TLSv1.2","240","Application Data"
"10","0.140630","204.79.197.222","FioImma.local","TLSv1.2","85","Application Data"
"11","0.140711","FioImma.local","204.79.197.222","TCP","54","54796  >  443 [ACK] Seq=967 Ack=770 Win=1020 Len=0"
"12","0.239727","FioImma.local","browser-intake-datadoghq.com","TCP","55","54759  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1"
"13","0.465458","browser-intake-datadoghq.com","FioImma.local","TCP","66","443  >  54759 [ACK] Seq=1 Ack=2 Win=62 Len=0 SLE=1 SRE=2"
"14","0.720370","FioImma.local","mars.octa.edu","DNS","98","Standard query 0xb437 PTR 222.197.79.204.in-addr.arpa OPT"
"15","0.721234","FioImma.local","mars.octa.edu","DNS","96","Standard query 0x03c8 PTR 40.1.168.192.in-addr.arpa OPT"
"16","0.721731","FioImma.local","mars.octa.edu","DNS","96","Standard query 0xc288 PTR 26.158.233.3.in-addr.arpa OPT"
"17","0.736710","mars.octa.edu","FioImma.local","DNS","96","Standard query response 0x03c8 No such name PTR 40.1.168.192.in-addr.arpa OPT"
"18","0.736710","mars.octa.edu","FioImma.local","DNS","168","Standard query response 0xb437 No such name PTR 222.197.79.204.in-addr.arpa SOA ns1.msedge.net OPT"
