Round,Client,Accuracy,Precision,Recall,F1 Score
1,0,0.0004804612427930814,2.308430058262723e-07,0.0004804612427930814,4.614642959434109e-07
1,1,0.8745996156310057,0.9989707542373916,0.8745996156310057,0.9326571894323975
1,2,0.0004804612427930814,2.308430058262723e-07,0.0004804612427930814,4.614642959434109e-07
1,3,0.9995195387572069,0.9990393083574196,0.9995195387572069,0.9992793658604291
1,4,0.9995195387572069,0.9990393083574196,0.9995195387572069,0.9992793658604291
2,0,0.0004804612427930814,2.308430058262723e-07,0.0004804612427930814,4.614642959434109e-07
2,1,0.8745996156310057,0.9989707542373916,0.8745996156310057,0.9326571894323975
2,2,0.0004804612427930814,2.308430058262723e-07,0.0004804612427930814,4.614642959434109e-07
2,3,0.9995195387572069,0.9990393083574196,0.9995195387572069,0.9992793658604291
2,4,0.9995195387572069,0.9990393083574196,0.9995195387572069,0.9992793658604291
3,0,0.0004804612427930814,2.308430058262723e-07,0.0004804612427930814,4.614642959434109e-07
3,1,0.8745996156310057,0.9989707542373916,0.8745996156310057,0.9326571894323975
3,2,0.0004804612427930814,2.308430058262723e-07,0.0004804612427930814,4.614642959434109e-07
3,3,0.9995195387572069,0.9990393083574196,0.9995195387572069,0.9992793658604291
3,4,0.9995195387572069,0.9990393083574196,0.9995195387572069,0.9992793658604291
4,0,0.0004804612427930814,2.308430058262723e-07,0.0004804612427930814,4.614642959434109e-07
4,1,0.8745996156310057,0.9989707542373916,0.8745996156310057,0.9326571894323975
4,2,0.0004804612427930814,2.308430058262723e-07,0.0004804612427930814,4.614642959434109e-07
4,3,0.9995195387572069,0.9990393083574196,0.9995195387572069,0.9992793658604291
4,4,0.9995195387572069,0.9990393083574196,0.9995195387572069,0.9992793658604291
5,0,0.0004804612427930814,2.308430058262723e-07,0.0004804612427930814,4.614642959434109e-07
5,1,0.8745996156310057,0.9989707542373916,0.8745996156310057,0.9326571894323975
5,2,0.0004804612427930814,2.308430058262723e-07,0.0004804612427930814,4.614642959434109e-07
5,3,0.9995195387572069,0.9990393083574196,0.9995195387572069,0.9992793658604291
5,4,0.9995195387572069,0.9990393083574196,0.9995195387572069,0.9992793658604291
